ID,Name,Designator,Footprint,Quantity,shop link1,shop link2
1,控制器热插拔座a,,* 2.54MM圆排针双头针无抬阶冲针1*2/3/4/5/6/7/8/10P1*40P对插无缝,2,https://item.taobao.com/item.htm?_u=hf3hpidf15&id=699401435946&pisk=fC2ZrhxEix4InN6l5ck2LFVds-gtIAb5o-gjmoqmfV0GMc6D3orocGQAXWo0lyIAXAZmurzIJKif6Zp48PZu1fab1qmm-yq6Cq6tgrr7yr9fB5iD3yZxirw4DKo0mrItlGhaXlHxna_73TZTXH-fspyZjBX3v0vMnMFGn7Dxna_WOKcOUxUJjx3MIBmnJmuDnj4mKvmomxmijxjE-moJiF40okjEmmdDjC0M-pmSDxADsCm3xmikICAioBjED2mijKAd3lqDL0GG2JLl3Xx22c0ujVx6fWAj9CEI8GSgLL_mylVvnK2Ebf2Y-dau-xVgfyl7_aJatl4aZb2GeQhgjPPoZRXwy2GR4Y9xxdx8H58DifvjY4sFYf81r5xT4Q3HMIhneDu5fcOvMf2nY4sh3Idx67mEPGKG.&spm=a1z09.2.0.0.6a442e8d0UAFdG&sku_properties=-3%3A-3,
2,控制器热插拔座b,,* 单排插针插座2.54MM单排圆孔母座1*40P圆形排母环保镀金,2,https://detail.tmall.com/item.htm?abbucket=1&id=674957505257&ns=1&pisk=fdlZKKbUnSmIr9OkfPPVTGqLlCETk5xW_jZboq005lqgfq40gDmXWlgDXml4xqH6W-tOuNhE4s16Xd3cg-NDV3OWNVQTMSx5Z-xinGUuoPAbIrfHfwV2O3OWNVpgWSgHVf6i9Ha8PsV0ISVhtkU4S12mmWf3kkfgo14cxerLoS4gmo2h-rzuoom0oM435zSGIS4gK64uxoV0iB1mSqfUPRY-9wTWJE5aHu0gjNsjKKwcB2ZFMsGFNYruNk5ciXziRrvQM1AzxAMm1WcMxePn_clgLc9caWcZbf2EqH1EDgyhMyfGyjHNmt2GGyrW8eyNf3DGM0D43tBYK7UUVFa1HteityrW-IWAHRHu8uTOS&priceTId=213e388317318084552385350e33de&skuId=5030377019918&spm=a21n57.1.item.8.664c523cJquSFf&utparam=%7B%22aplus_abtest%22%3A%222a94348283b077ed34f0ae1990b04858%22%7D&xxc=taobaoSearch,
3,二极管 ,,* 1N4148W SOD-123,58,https://item.taobao.com/item.htm?abbucket=1&id=724430409051&ns=1&pisk=fjvEKJZNZTY6oTkmRMWzQyDO5FbdR90jLL_5q3xlAwbhR3jlUFYSvwtoJUJPS3dIv_gL4kpwu8wIJXKuU_6olqMjhHEdeT0bqMXDTyIAcaD5rwbiRlXrCqMjhHhhvTtilpNh5CsAc8XltTXgINIU-WYltRxGWgIu-g2nbcSRSMq3taxGsgS3ZaYuK1jGDgQuETVHjRj5SaXlEBgWx32Nc6mvBusRI7PPWZxh-kaMs45_9h7a4uvahBQchNyuEdSHfgc1eJDVSBOkdOvnScWMLeJh_eGu3Ove8pfwoVwwyg7aeG23DLdUr7f3FG7jbc5URqA3eEAPa7FRstINlDsQw7ChaG7jj4P8w6dcbZiLx&priceTId=213e374617318101368156273e0b3d&skuId=5422556265237&spm=a21n57.1.item.2.635e523c2toBPk&utparam=%7B%22aplus_abtest%22%3A%2239e2a134569ac6070ff15c762402064e%22%7D&xxc=taobaoSearch,
4,重置按钮,,* 轻触开关2脚按钮 3x6x5 直插,2,https://detail.tmall.com/item.htm?abbucket=12&id=710889774603&ns=1&pisk=fKsqhOMyShf7Jmq3GK-Z4VKSilRYVh5aOjS6IdXOBAADmI_yI118B-KfIC5NNQnflrL6_A-AVZi6GSKNI6TaOWZQAtBvDhVQOTpU6m-HpjDm1CvoZED8FuZQAtBxhK2CEksX2YsBLVmGsEXkqKdknKADI8-kddximFmmrbAJZCxMSdmkEK9InxAim8lkCdcisqmmZLveImxMj1Xkt26cI0JBoJdSfxU_0z0JOtArYYpDiq98vdnijgJqOSBXaL954K82TULOw-IFKtjpQGen7CRcowxcbWl6z_bc-njaTbAOlpIPYcpomvIOuf0Moc9yO8yyujNhoJaYuS3tWUxpUBwXhV39oBpyO8yrWVLkyLRQhK1..&priceTId=2147826a17323354153573114ea718&skuId=4980430404006&spm=a21n57.1.item.261.1bb7523cEG9fxn&utparam=%7B%22aplus_abtest%22%3A%223b1526cf505e7838db69df81c61c2572%22%7D&xxc=taobaoSearch,
5,TRRS jack-耳机接口（有线版本）,,PJ-320A/PJ-320D镀金3.5MM音频座4脚插脚耳机插座音响口 直插,2,https://detail.tmall.com/item.htm?id=756599475077&spm=a1z09.8149145.0.0.766c7ee1Kgjg1R&skuId=5388723195957,
6, TRRS cable（有线版本）,,车载AUX音频线弹簧弯头双头3.5mm公对公头戴式耳机手机音箱连接线 黑色3.5公转公-双弯-0.3米,1,https://item.taobao.com/item.htm?_u=pf3hpid41b&id=842306156165&spm=a1z09.2.0.0.2acf2e8dn3FCHj&skuId=5780371462608,
7,MX热插拔插座,,全新设计机械键盘轴座内簧卡口磷铜镀镍更丝滑平替凯华佳达隆轴座,58,https://mobile.yangkeduo.com/goods1.html?ps=gS0AggrWaY,
8,Kailh Choc热插拔插座,,* 凯华Kailh热插拔轴底座连接器改装插拔机械轴choc矮轴轴座1350系,58,https://item.taobao.com/item.htm?_u=hf3hpic352&id=667154671807&pisk=fCjIyWa2N_INSh2e-Yew1DEDjP-lO_Z42Y9RnTnEeHKpP0BFGLoyzyvSVC6YKBzu-__1w1Ye9Q8yVL12s9ozK9y7VTBv937eTLCNN10FTgRP_u6cGeoFegkhSsWxYMzH40teq3F4gorqK9xk2rJqpCGnWKv84DLJe2Z1LRP4gor4JAK7OS5EJ6cxWK9v2pKJwFe6ULGpw_LKXOdMELhpeDe_CLAtvDp-Jld9HKgKv_p-Wfpyh03-veHOBKd9w3LpJBQqhLaBt9wZnd-TMkFlaCi-ctvBvm6tzmnvipLI-Rdt2RS6deOAdMuvEX95kiThM5ue9ZtdGHQ_6DtFOGCXvNNtAnQcLHSzNjRfvygSCEmJC22_C40u_Kr5V9AdfVLpIpTaCRGdrepMCZw_C4zwJdvNfRwsOrC..&spm=a1z09.2.0.0.6a442e8d0UAFdG&sku_properties=5919063%3A6536025%3B122216346%3A21958%3B211004089%3A22813932309,
9,主控芯片nice!nano v2 ,,* Promicro NRF52840开发板 兼容nice!nano V2.0 带蓝牙 充电管理,2,https://item.taobao.com/item.htm?_u=hf3hpifaa0&id=766602359920&pisk=flDIrfO4P4HNcXKUtgKa59p0ICyoA492egZ-m0BF2JeLNTnEluWzaBq5FPivxyRkt4GsyVVUJzPzFug4SDWyxD-WF0nYJ8lU8u3ZPVfE8Yzr7LimlWWE2YSnsqoALvR3UTwUE8L2uKJVxD2ueIrVvP_hBorJU9FRe69sYh82uKJ29GeWREuF920dWoZYeke8y5K_4u_Ly4FdBcUgquQL29K6fu4Op9ER9dUTDo1dp4Bd61Eb2uBLv6pT6u4Ty8FLwNdHfiZWOymBbiqaBEQvKqz1eti0AJCqf_Wfh1EL9rpc7TWzqkNQkDU9o3Ye17gQOAJCokGtcoZI13CTJckIVkG621UK2mDmggo5urMpO_s_iTE1tht1Z_Ya0LMSxyH16WEgA5-6fwhu9lqsGht1aCPLjlk6fh_BM&spm=a1z09.2.0.0.6a442e8d0UAFdG,
10,显示芯片,,* 0.91寸OLED显示模块i2C接口128X32液晶屏SSD1306蓝光白光3.3V5V,2,https://item.taobao.com/item.htm?abbucket=12&id=609852392259&ns=1&pisk=fZjiKs1NBBG5dQ3Esy-_uadLbNFdtAtX5snvMnd48BRIXERY5sYcM6TVXhBOtI5RiKIODibImT6fXRtYChB6cnP8wuIcCOtjx4x3NGYe8d6eQjoZsO-sQnP8wu3KLFN901ew559E8LOeQI8ZbJqenLx2Qd-4KBJDFqlNgsWUKKv-7muw3kreFLtqunuZLDJDhAJ2udrUKKOegBe-0QjVAMPOAcsf494UPd8Ma9YSA232ebpPQ3nmm-CWSVBwtmoVYwd7fWRuxXRd3T_2-i00upjGEivCKz0yKGXlmKjbGkjzHpurtXnXL-Inl2LwdpAJfnLCbrZvSUy3K4a67p9TwJ2nlwYwdp-aKJ0PYFJBQuC..&priceTId=2147829e17323338539961443e9818&skuId=4459932750700&spm=a21n57.1.item.101.1bb7523cEG9fxn&utparam=%7B%22aplus_abtest%22%3A%2260cd0003ef149da9d8c8137800ac5d05%22%7D&xxc=taobaoSearch,
11,键帽,,马里奥键帽 134键 PBT（自选）,1,https://mobile.yangkeduo.com/goods.html?ps=GnIc6lHRn2,
12,键轴,,红轴（自选）,58,https://mobile.yangkeduo.com/goods1.html?ps=AHxJNePIvi,https://qr.1688.com/s/fI6RCFWh CZ1263
